,,Average,Var
Accuracy,1dAVb,0.9661396574440054,8.189820528710368e-05
Accuracy,RBBB,0.9588757136583225,5.662286302717057e-05
Accuracy,LBBB,0.9866842336407554,8.242664177819154e-05
Accuracy,SB,0.9891172595520422,7.87653125168161e-05
Accuracy,AF,0.9842819499341239,2.87540583124017e-06
Accuracy,ST,0.986697408871322,5.5470247335974356e-05
Precision,1dAVb,0.0,0.0
Precision,RBBB,0.0,0.0
Precision,LBBB,1.0,0.0
Precision,SB,0.9333333333333332,0.008888888888888885
Precision,AF,0.0,0.0
Precision,ST,0.9090909090909092,0.016528925619834708
Recall,1dAVb,0.0,0.0
Recall,RBBB,0.0,0.0
Recall,LBBB,0.6777777777777777,0.018765432098765435
Recall,SB,0.6666666666666666,0.07407407407407408
Recall,AF,0.0,0.0
Recall,ST,0.820662768031189,0.009309607134578915
Specificity,1dAVb,1.0,0.0
Specificity,RBBB,1.0,0.0
Specificity,LBBB,1.0,0.0
Specificity,SB,0.9987608426270137,3.07102199005298e-06
Specificity,AF,1.0,0.0
Specificity,ST,0.9962406015037594,2.826615410707205e-05
F1,1dAVb,0.0,0.0
F1,RBBB,0.0,0.0
F1,LBBB,0.7997623291740937,0.010077355993262463
F1,SB,0.7424242424242423,0.04178145087235997
F1,AF,0.0,0.0
F1,ST,0.8512254901960784,0.004071631103421759
